0003000M_phase0_T,0003000M_phase0_R,0004000M_phase0_T,0004000M_phase0_R,0005000M_phase0_T,0005000M_phase0_R,0006000M_phase0_T,0006000M_phase0_R,0007000M_phase0_T,0007000M_phase0_R,0008000M_phase0_T,0008000M_phase0_R,0009000M_phase0_T,0009000M_phase0_R,0010000M_phase0_T,0010000M_phase0_R,0011000M_phase0_T,0011000M_phase0_R,0012000M_phase0_T,0012000M_phase0_R,0013000M_phase0_T,0013000M_phase0_R,0014000M_phase0_T,0014000M_phase0_R,0015000M_phase0_T,0015000M_phase0_R,0016000M_phase0_T,0016000M_phase0_R
3412.730583,0.291768191,3604.76951,0.36681873,3801.47858,0.457634499,4047.498043,0.553655177,4462.009071,0.637040293,4937.145879,0.708221012,5365.283428,0.789056018,5707.057054,0.883585204,5985.206998,0.99148567,6220.617901,1.109181406,6435.102317,1.232179048,6641.345657,1.357166821,6853.50165,1.477833422,7761.893537,1.50624225
3412.750934,0.291779245,3604.122448,0.366015948,3796.818512,0.456306104,4044.591505,0.553848761,4455.68949,0.637221982,4935.9505,0.708530183,5363.662808,0.789138099,5705.092512,0.883909506,5983.104127,0.992072385,6221.05912,1.111284069,6437.359591,1.235478968,6645.155969,1.360705143,6864.483618,1.482608843,7799.49416,1.484006124
3412.771285,0.2917903,3603.419784,0.365343261,3792.564005,0.455378819,4042.302705,0.554127992,4452.388834,0.637692734,4935.749618,0.708930979,5362.235282,0.789311689,5703.675927,0.884367098,5983.031847,0.993321268,6224.370402,1.11426092,6445.553919,1.241017004,6660.366897,1.368717761,6891.534292,1.491765293,7813.868278,1.465535551
3412.792061,0.291802788,3602.66761,0.3647697,3789.105011,0.454801685,4040.692977,0.55450168,4450.761797,0.638284186,4935.990592,0.709361249,5360.93731,0.789546717,5702.656438,0.884921545,5984.046302,0.99470131,6229.486402,1.117292458,6457.329441,1.24651309,6680.883557,1.376595756,6927.690288,1.499855806,7814.346273,1.452138689
3412.815306,0.2918236,3601.834897,0.364385726,3786.627009,0.454536541,4039.585652,0.554893521,4450.544611,0.638927366,4936.255047,0.709748199,5359.745577,0.789846579,5702.18881,0.885501037,5985.651105,0.996051702,6235.635693,1.119877233,6470.826015,1.250942604,6705.426924,1.382866122,6971.400597,1.505000992,7809.9941,1.44331917
3412.83855,0.291844413,3601.021272,0.364066714,3784.720419,0.454455471,4038.648157,0.555291692,4450.754731,0.639497027,4936.282445,0.710090171,5358.577602,0.790152148,5701.78866,0.886075842,5987.734778,0.997263499,6242.24611,1.121816967,6485.531949,1.254159106,6733.118633,1.38717439,7022.18862,1.506552248,7805.515288,1.438271604
3412.862242,0.291866524,3600.228609,0.363889764,3783.268711,0.454514854,4037.913359,0.555645465,4451.150238,0.640034996,4936.07116,0.71038679,5357.518361,0.790482895,5701.734344,0.886598155,5990.044704,0.998248444,6249.109309,1.123404183,6501.280253,1.25639839,6763.881648,1.389601755,7079.79593,1.504505043,7802.709415,1.435370131
3412.888694,0.291896654,3599.484988,0.363771503,3782.378384,0.454670697,4037.229138,0.555988323,4451.170208,0.640441187,4935.649084,0.710656436,5356.481355,0.790815216,5701.685707,0.887119238,5992.44849,0.9991402,6256.262132,1.124582457,6517.948611,1.257881114,6797.364319,1.39036012,7143.100744,1.498469509,7801.496965,1.433718163
3412.915147,0.291926788,3598.808529,0.363771261,3781.781634,0.454861865,4036.591453,0.556284539,4451.128294,0.640825836,4935.071264,0.71090615,5355.603166,0.791158026,5701.927037,0.887562051,5995.019031,0.999796276,6263.644283,1.125432819,6535.36604,1.258775883,6832.6177,1.389378754,7207.830789,1.487838342,7801.241606,1.432724324
3412.941601,0.291956925,3598.155782,0.363802809,3781.364566,0.455069049,4035.981801,0.556552703,4450.891923,0.641121741,4934.443782,0.711154373,5354.725121,0.791500985,5702.168378,0.888005085,5997.615154,1.000417862,6271.131529,1.126147249,6553.30426,1.259106736,6866.931815,1.386396489,7264.89868,1.473156207,7801.764793,1.432152693
3412.972153,0.291997703,3597.578398,0.363917353,3781.100908,0.455280399,4035.374346,0.556807712,4450.605313,0.64139478,4933.747033,0.71140048,5353.987666,0.791835389,5702.545076,0.888392984,6000.338796,1.000891692,6278.845901,1.126615784,6571.00561,1.258873823,6896.720739,1.380988706,7305.47521,1.456400409,7802.514306,1.431699139
3413.002752,0.292038607,3597.028606,0.364060319,3780.863902,0.455489574,4034.774846,0.557013176,4450.241237,0.641639852,4933.050606,0.711646849,5353.280346,0.792168072,5702.985095,0.888755157,6003.096355,1.001327447,6286.558129,1.126998054,6587.542671,1.257927876,6919.055269,1.373559723,7327.518167,1.440587573,7803.408871,1.431321203
3413.03335,0.292079516,3596.520117,0.364240718,3780.997208,0.455665944,4034.175435,0.557218716,4449.79852,0.641856492,4932.367601,0.711903837,5352.631762,0.792494768,5703.439211,0.889112214,6005.900075,1.001707349,6294.263989,1.127262829,6602.111159,1.256134666,6933.049593,1.365492221,7335.644518,1.428014227,7804.270191,1.431040039
3413.067207,0.292130073,3596.05672,0.364458266,3781.133003,0.455841315,4033.601706,0.557402212,4449.355846,0.642073206,4931.684691,0.712160918,5352.140058,0.79280521,5704.049061,0.889411124,6008.756993,1.002022631,6301.666216,1.1273714,6613.628914,1.253725849,6940.726762,1.358131787,7336.699619,1.419267514,7805.112705,1.430769464
3413.1024,0.292184593,3595.615297,0.364689607,3781.348526,0.455988915,4033.048406,0.557568176,4448.848261,0.642271819,4930.97274,0.712418849,5351.648399,0.793115773,5704.658975,0.889710134,6011.615269,1.002338012,6308.827799,1.127397791,6621.619208,1.250952345,6944.159385,1.352447388,7335.625462,1.413559138,7805.770703,1.430570125
3413.137594,0.292239123,3595.209027,0.364944587,3781.581704,0.456135578,4032.495181,0.557734188,4448.337824,0.642469678,4930.210425,0.712678185,5351.210156,0.793409773,5705.305837,0.889999997,6014.492592,1.002600087,6315.277969,1.127245981,6627.029578,1.248203227,6945.662443,1.348419005,7334.573064,1.410222678,7806.428755,1.430370813
