,0003000M_phase2_T,0003000M_phase2_R,0004000M_phase2_T,0004000M_phase2_R,0005000M_phase2_T,0005000M_phase2_R,0006000M_phase2_T,0006000M_phase2_R,0007000M_phase2_T,0007000M_phase2_R,0008000M_phase2_T,0008000M_phase2_R,0009000M_phase2_T,0009000M_phase2_R,0010000M_phase2_T,0010000M_phase2_R,0011000M_phase2_T,0011000M_phase2_R,0012000M_phase2_T,0012000M_phase2_R,0013000M_phase2_T,0013000M_phase2_R,0014000M_phase2_T,0014000M_phase2_R,0015000M_phase2_T,0015000M_phase2_R,0016000M_phase2_T,0016000M_phase2_R
0,-99,-99,3940.9899372926016,0.6446376430902306,4272.199100725199,0.7762817309261894,4667.196128922385,1.0086489073756784,4978.161525105379,1.1205287899786698,5249.467434418877,1.2512912378275984,5483.787748738757,1.393762955885988,5683.980473323236,1.5581263063460447,5873.3782095903225,1.731202666492787,5966.748181830738,1.9898966003726661,6103.912722840878,2.218740113330901,6275.266386606336,2.433086056905509,6349.78902431541,2.7265668613255474,6445.021822003503,3.01065125536113
1,-99,-99,-99.0,-99.0,-99.0,-99.0,4656.780733522187,1.0332501247563302,4958.179015437375,1.1466017391693093,5223.984736986803,1.2785557634313875,5456.054994827789,1.4219560427764264,5654.299116250414,1.5884121877999926,5841.606180072252,1.7647951936245763,5926.034019836993,2.0256038392162687,6057.150325365238,2.2565153335112447,6229.007646716856,2.4737149470564264,6301.5191419188895,2.7716253199964997,6391.345388398401,3.061800351642427
2,-99,-99,-99.0,-99.0,-99.0,-99.0,4644.662026764712,1.0592909217023114,4935.671691089997,1.174356769956738,5195.954747657391,1.3069151188851484,5425.450236251196,1.4508558997107248,5621.845424790792,1.6190293517388858,5807.188833596225,1.79869008909019,5883.463775386857,2.0602746708905304,6009.530936215114,2.293208085865805,6180.563621742791,2.5133292079343685,6252.034540075386,2.8155980578095554,6337.393203407666,3.111864320430791
3,-99,-99,-99.0,-99.0,-99.0,-99.0,4630.629635503223,1.0870350260027597,4910.98204195791,1.2036875359127517,5165.294371148345,1.3362831195062193,5392.343042164766,1.4801744597687796,5586.989852713418,1.6495787810296345,5770.904626399435,1.8320858349273548,5839.8658463808715,2.09303716207515,5961.586802061945,2.327810476026667,6130.514388217673,2.5515317475906727,6201.5283215719965,2.858022380168453,6283.204212451845,3.160412951187236
4,-99,-99,-99.0,-99.0,-99.0,-99.0,4615.342642988701,1.1164534404444775,4884.397428055998,1.2347413947567818,5132.02583496593,1.3667309294882517,5356.423043002925,1.5099332641018004,5550.0112972953375,1.6796482046981416,5732.51944195651,1.8646897696072313,5795.547653410417,2.123530206156462,5913.317678350136,2.3599078406182055,6079.478783047148,2.5879214547183813,6150.135031611699,2.898420691512493,6228.900804364065,3.20697948389703
5,-99,-99,-99.0,-99.0,-99.0,-99.0,4599.77436827368,1.1474928190772313,4856.075871590271,1.2677239886867637,5096.938892410984,1.398415202253748,5318.900585726215,1.5397550490643546,5510.965452625406,1.7091293356412147,5692.244267589082,1.8960539839779222,5750.44690361336,2.151572506957066,5865.055373480164,2.389002110412134,6028.038756213624,2.6219511908016693,6098.100414235244,2.9363756373734042,6174.596210099927,3.2508747531383775
6,-99,-99,-99.0,-99.0,-99.0,-99.0,4584.7619063726,1.1801043570826326,4826.691627103496,1.3028850148034534,5059.927132775887,1.4317226572754453,5279.125102757591,1.5700773325030326,5470.198730101121,1.7378707706496823,5650.4367921428175,1.925877144815283,5704.963359971811,2.1770645497777066,5816.807475222278,2.414857820157242,5976.524931424664,2.653364603944139,6045.880544018711,2.9713628580249254,6120.512050166664,3.2916483225482827
7,-99,-99,-99.0,-99.0,-99.0,-99.0,4570.602093869481,1.2142305881184876,4798.072036484427,1.3401878322894611,5021.90842611746,1.4669979036172351,5237.573169759303,1.6012132426253858,5428.012109375981,1.7660342201888095,5607.470529067573,1.9539063547047546,5659.042516184359,2.199968463506177,5768.887934595761,2.43730537999306,5925.288984031035,2.681552875376721,5993.746423384117,3.00308291469563,6066.87234303313,3.3288622598204296
8,-99,-99,-99.0,-99.0,-99.0,-99.0,4557.40090536546,1.2499502943566434,4770.743907069765,1.3798636183230852,4983.614556579685,1.5047666066648313,5194.838920525523,1.6336234627782211,5384.102601193813,1.7940383270572555,5563.372823711867,1.9802194030882783,5612.817125463396,2.2205673860802113,5721.213134129312,2.456580458295321,5874.640651512636,2.7061638049556693,5941.902136331681,3.0310319038918747,6013.724324269451,3.3620723232399308
9,-99,-99,-99.0,-99.0,-99.0,-99.0,4546.740725499626,1.2865968478095413,4745.182780814402,1.421871808347529,4946.098395853472,1.5454077986989805,5151.108228048919,1.667908131956196,5339.222150692965,1.822270842843567,5518.3222604894645,2.0052006428307574,5566.400263801368,2.239143338045025,5673.9523602338695,2.472902236282409,5824.833179230388,2.7269482605222537,5890.934869956331,3.0546829342836905,5961.390831157118,3.390822195122364
